facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
HORA DISP,MASALANI,HARA,GARISSA,BALAMBALA,4,MOH,-1.83404,40.2083
IJARA DISP,IJARA,SANGOLE,GARISSA,BALAMBALA,4,MOH,-1.54577,40.6083
KORA KORA DISP,CENTRAL,KORAKORA,GARISSA,BALAMBALA,4,MOH,-0.5653,39.7849
KOTILE DISP,MASALANI,KOTILE,GARISSA,BALAMBALA,4,MOH,-1.91216,40.2489
MASABUBU DISP,BURA,MANSABUBU,TANA RIVER,GALOLE,4,MOH,-1.23551,40.0427
MBALAMBALA DISP,BALAMBALA,BALAMBALA,GARISSA,BALAMBALA,4,MOH,0.00824,39.0759
NANIGHI DISP,BURA,KAMUTHE,GARISSA,BALAMBALA,4,MOH,-0.68774,39.8558
SAKA DISP,SANKURI,SAKA,GARISSA,BALAMBALA,4,MOH,-0.10131,39.366
SANGAILU DISP,SANGAILU,SANGAILU,GARISSA,BALAMBALA,4,MOH,-1.39017,40.8289
SANKURI DISP,SANKURI,SANKURI,GARISSA,BALAMBALA,4,MOH,-0.16575,39.4755
SHANTABAK DISP.,SHANT-ABAK,GOREALE,GARISSA,BALAMBALA,4,MOH,0.24409,39.6306
ARABIA DISP,FINO,ARABIA,MANDERA,MANDERA SOUTH,4,MOH,3.537979,41.582429
AS-HABITO DISP,ASHABITO,ASHABITO,MANDERA,MANDERA SOUTH,4,MOH,3.33798,40.867
BANISA DISP,BANISA,BANISA,MANDERA,MANDERA SOUTH,4,MOH,3.911244,40.35221
DANDU DISP,DANDU,DANDU,MANDERA,MANDERA SOUTH,4,MOH,3.42234,39.862221
KALALIYO DISP,KHALALIO,KHALALIO,MANDERA,MANDERA SOUTH,4,MOH,3.950161,41.619151
KUTULO DISP,KOTULO,KOTULO,MANDERA,MANDERA SOUTH,4,MOH,2.37357,40.7295
LIBEHIA DISP,LIBEHIA,LIBEHIA,MANDERA,MANDERA SOUTH,4,MOH,3.801036,41.490197
MALKA MARI DISP,MALKAMARI,MALKAMARI,MANDERA,MANDERA SOUTH,4,MOH,4.277132,40.766331
WARGADUD DISP,WARGADUD,WARGADUD,MANDERA,MANDERA SOUTH,4,MOH,3.140544,40.865514
ABAKORE DISP,HABASWEIN,ABAKORE,WAJIR,WAJIR WEST,4,MOH,0.602452,39.716838
AJAWA DISP,GURAR,AJAWA,WAJIR,WAJIR WEST,4,MOH,3.070257,39.594792
ARBAJAHAN DISP,GRIFTU,ARBAJAHAN,WAJIR,WAJIR WEST,4,MOH,2.0912,39.0811
BIYAMATHOW DISP,SEBULE,SARIF,WAJIR,WAJIR WEST,4,MOH,0.397138,40.801336
DAMBAS DISP,TARBAJ,DAMBAS,WAJIR,WAJIR WEST,4,MOH,2.38608,39.9967
