facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
LIGEGA DISP,UKWALA,N.EAST UGENYA,SIAYA,UGENYA,4,MOH,0.2119,34.244
MARENYO DISP,YALA,YALA TOWNSHIP,SIAYA,UGENYA,4,MOH,0.062,34.5345
MIDHINE DISP,YALA,YALA TOWNSHIP,SIAYA,UGENYA,4,MOH,0.0589,34.5427
NYAMBARE DISP,URANGA,USONGA,SIAYA,UGENYA,4,MOH,0.133418,34.102043
RABAR DISP,URANGA,WEST ALEGO,SIAYA,UGENYA,4,MOH,0.152112,34.190021
RATUORO DISP,BORO,S.CENTRAL ALEGO,SIAYA,UGENYA,4,MOH,0.03116,34.178541
SIFUYO DISP,UKWALA,WEST UGENYA,SIAYA,UGENYA,4,MOH,0.1639,34.1165
SIKALAME DISP,UKWALA,EAST UGENYA,SIAYA,UGENYA,4,MOH,0.2965,34.3714
TINGARE DISP,UGUNJA,NORTH UHOLO,SIAYA,UGENYA,4,MOH,0.2588,34.3857
TING'WANG'I DISP,KAREMO,SOUTH ALEGO,SIAYA,UGENYA,4,MOH,0.0141,34.3286
URENGA DISP,WAGAI,N.EAST GEM,SIAYA,UGENYA,4,MOH,0.0161,34.4397
KIGWA DISP,GWASSI,GWASSI EAST,HOMA BAY,RANGWE,4,MOH,-0.63123,34.21112
NYADENDA DISP,CENTRAL,RUMA,HOMA BAY,RANGWE,4,MOH,-0.58124,34.25123
NYS DISP,CENTRAL,RUMA,HOMA BAY,RANGWE,4,MOH,-0.62321,34.24123
PONGE DISP,MBITA,GEMBE CENTRAL,HOMA BAY,RANGWE,4,MOH,-0.54123,34.25231
SOKLO DISP,MFANGANO,MFANGANO WEST,HOMA BAY,RANGWE,4,MOH,-0.46231,34.02231
UGINA DISP,MFANGANO,MFANGANO SOUTH,HOMA BAY,RANGWE,4,MOH,-0.49123,34.00212
USAO DISP,MBITA,GEMBE EAST,HOMA BAY,RANGWE,4,MOH,-0.460573,34.3754
WAKULA DISP,MFANGANO,MFANGANO WEST,HOMA BAY,RANGWE,4,MOH,-0.44123,34.01232
AIYEBO DISP,KABARTONJO,SAIMO,BARINGO,BARINGO CENTRAL,4,MOH,0.667621,35.8125
BARTABWA DISP,BARTABWA,NGOROBA,BARINGO,BARINGO CENTRAL,4,MOH,0.836503,35.816
BARTOLIMO DISP,KIPSARAMAN,KAPTEBEREWO,BARINGO,BARINGO CENTRAL,4,MOH,0.691064,35.8225
BEKIBON DISP,TENGES,BEKIBON,BARINGO,BARINGO CENTRAL,4,MOH,0.339176,35.8855
BOROWININ DISP,KABARNET,KAPROPITA,BARINGO,BARINGO CENTRAL,4,MOH,0.440082,35.7792
BOSSEI DISP,KABARTONJO,KELIO,BARINGO,BARINGO CENTRAL,4,MOH,0.682357,35.777
CHEPLAMBUS DISP,TENGES,EMOM,BARINGO,BARINGO CENTRAL,4,MOH,0.284218,35.7504
KALABATA DISP,BARTABWA,KINYACH,BARINGO,BARINGO CENTRAL,4,MOH,0.94,35.77
KAPCHEPKOR DISP,KABARTONJO,SAIMO,BARINGO,BARINGO CENTRAL,4,MOH,0.624083,35.8192
KAPKELELWA DISP,SACHO,SACHO SOI,BARINGO,BARINGO CENTRAL,4,MOH,0.367105,35.7144
KAPKIAMO DISP,KABARTONJO,KELIO,BARINGO,BARINGO CENTRAL,4,MOH,0.655565,35.7823
KAPKOLE DISP,KABARNET,OROKWO,BARINGO,BARINGO CENTRAL,4,MOH,0.53378,35.7351
KAPLUK DISP,BARWESA,KABUTEI,BARINGO,BARINGO CENTRAL,4,MOH,0.568488,35.6678
KAPROPITA GIRLS HIGH SCH. DISP,KABARNET,KAPROPITA,BARINGO,BARINGO CENTRAL,4,MOH,0.488733,35.7522
KAPTIONY DISP,BARWESA,LAWAN,BARINGO,BARINGO CENTRAL,4,MOH,0.702451,35.7401
KAPTUM DISP,KABARTONJO,OSSEN,BARINGO,BARINGO CENTRAL,4,MOH,0.622743,35.7488
KAPTUMIN DISP,KABARTONJO,SAIMO,BARINGO,BARINGO CENTRAL,4,MOH,0.654225,35.8225
KASIELA DISP,MOCHONGOI,CHEBINYINY,BARINGO,BARINGO CENTRAL,4,MOH,0.430839,36.2146
KASISIT DISP,KABARTONJO,SAIMO,BARINGO,BARINGO CENTRAL,4,MOH,0.63614,35.8312
KASITET DISP,SALAWA,KAPROPITA SOI,BARINGO,BARINGO CENTRAL,4,MOH,0.405846,35.6918
KASOK DISP,KIPSARAMAN,KAPKATA,BARINGO,BARINGO CENTRAL,4,MOH,0.723215,35.7971
KETURWO DISP,BARWESA,LAWAN,BARINGO,BARINGO CENTRAL,4,MOH,0.660923,35.6946
KIBINGOR DISP,KABARNET,KIMONDIS,BARINGO,BARINGO CENTRAL,4,MOH,0.520266,35.8648
KIBOINO DISP,SALAWA,KIBOINO,BARINGO,BARINGO CENTRAL,4,MOH,0.455398,35.6828
KIMUGUL DISP,KIPSARAMAN,KAPTEBEREWO,BARINGO,BARINGO CENTRAL,4,MOH,0.713168,35.8145
KINYACH DISP,BARTABWA,KINYACH,BARINGO,BARINGO CENTRAL,4,MOH,0.914745,35.69
KIPCHERERE DISP,KABARTONJO,BARTUM,BARINGO,BARINGO CENTRAL,4,MOH,0.604054,35.8585
KORIEMA DISP,MARIGAT,KIMALEL,BARINGO,BARINGO CENTRAL,4,MOH,0.481214,35.861213
KOROTO DISP,KABARTONJO,BARTUM,BARINGO,BARINGO CENTRAL,4,MOH,0.630781,35.9129
LOBOI DISP,MARIGAT,LOBOI,BARINGO,BARINGO CENTRAL,4,MOH,0.3568,36.0679
LOIWAT DISP,KOLLOWA,LOIWAT,BARINGO,BARINGO CENTRAL,4,MOH,1.04812,35.7239
LORUK DISP,NGINYANG,LOYAMOROK,BARINGO,BARINGO CENTRAL,4,MOH,0.731265,36.0523
NG'AMBO DISP,MARIGAT,NGAMBO,BARINGO,BARINGO CENTRAL,4,MOH,0.499182,36.0608
NGETMOI DISP,KABARNET,NGETIMOI,BARINGO,BARINGO CENTRAL,4,MOH,0.416657,35.8207
OL-ARABEL DISP,MUKUTANI,ARABAL,BARINGO,BARINGO CENTRAL,4,MOH,0.45,36.18
POI DISP,KIPSARAMAN,KAPKATA,BARINGO,BARINGO CENTRAL,4,MOH,0.748719,35.8064
SABOR DISP,MARIGAT,KIMALEL,BARINGO,BARINGO CENTRAL,4,MOH,0.402363,35.8586
SUMEIYON DISP,KABARTONJO,KATIORIN,BARINGO,BARINGO CENTRAL,4,MOH,0.583894,35.7555
TALAI DISP,KABARNET,TALAI,BARINGO,BARINGO CENTRAL,4,MOH,0.586035,35.809
TANGULBEI DISP,TANGULBEI,TANGULBEI,BARINGO,BARINGO CENTRAL,4,MOH,0.809574,36.2872
TIMBOIYWO DISP,SACHO,KABASIS,BARINGO,BARINGO CENTRAL,4,MOH,0.422063,35.7972
TIRIMIONIN DISP,KABARTONJO,SAIMO,BARINGO,BARINGO CENTRAL,4,MOH,0.654225,35.8044
TIRIONDONIN DISP,KABARTONJO,OSSEN,BARINGO,BARINGO CENTRAL,4,MOH,0.650876,35.7555
YATYA DISP,KIPSARAMAN,KAPKATA,BARINGO,BARINGO CENTRAL,4,MOH,0.796428,35.9305
BURGEI DISP,SOTIK,RONGENA,BOMET,CHEPALUNGU,4,MOH,-0.79234,35.11234
CHEBOYO DISP,SIONGIROI,MOGOR,BOMET,CHEPALUNGU,4,MOH,-0.93241,35.14243
CHEBUNYO DISP,SIONGIROI,CHEBUNYO,BOMET,CHEPALUNGU,4,MOH,-0.95953,35.2106
CHEMANER DISP,LONGISA,CHEMANER,BOMET,CHEPALUNGU,4,MOH,-0.808628,35.5042
CHEPWOSTUIYET DISP,SIONGIROI,BINGWA,BOMET,CHEPALUNGU,4,MOH,-0.841234,35.15234
CHESOEN DISP,BOMET CENTRAL,CHESOEN,BOMET,CHEPALUNGU,4,MOH,-0.70124,35.28123
GELEGELE DISP,NDANAI,GELEGELE,BOMET,CHEPALUNGU,4,MOH,-0.872233,35.0385
GORGOR DISP,NDANAI,ABOSI,BOMET,CHEPALUNGU,4,MOH,-0.896847,35.0788
IRWAGA DISP,BOMET CENTRAL,MERIGI,BOMET,CHEPALUNGU,4,MOH,-0.74123,35.37412
KANUSIN DISP,SOTIK,KANUSIN,BOMET,CHEPALUNGU,4,MOH,-0.791999,35.2281
KAPKESOSIO DISP,SIGOR,KAPKESOSIO,BOMET,CHEPALUNGU,4,MOH,-0.860177,35.293
KAPKURES DISP,SOTIK,KIPTULWA,BOMET,CHEPALUNGU,4,MOH,-0.772466,35.1491
KATARET DISP,SIONGIROI,MOGOR,BOMET,CHEPALUNGU,4,MOH,-0.92324,35.182354
KIPSUTER DISP,SIONGIROI,SIONGIROI,BOMET,CHEPALUNGU,4,MOH,-0.92324,35.23241
KIPTULWA DISP,SOTIK,KIPTULWA,BOMET,CHEPALUNGU,4,MOH,-0.781234,35.16234
KIROMWOK DISP,BOMET CENTRAL,KIROMWOK,BOMET,CHEPALUNGU,4,MOH,-0.741236,35.41245
KITOBEN DISP,BOMET CENTRAL,MUGANGO,BOMET,CHEPALUNGU,4,MOH,-0.72123,35.40123
LUGUMEK DISP,SIGOR,LELAITICH,BOMET,CHEPALUNGU,4,MOH,-0.999671,35.293236
MAKIMENYI DISP,SIONGIROI,MAKIMENY,BOMET,CHEPALUNGU,4,MOH,-0.83482,35.1948
MENET DISP,BOMET CENTRAL,KIROMWOK,BOMET,CHEPALUNGU,4,MOH,-0.771423,35.452341
MERIGI DISP,BOMET CENTRAL,MERIGI,BOMET,CHEPALUNGU,4,MOH,-0.771423,35.40123
MOTIRET DISP,NDANAI,KAPKELEI,BOMET,CHEPALUNGU,4,MOH,-0.80234,35.13241
NDARAWETA DISP,BOMET CENTRAL,NDAREWETA,BOMET,CHEPALUNGU,4,MOH,-0.680587,35.3678
OLOKYIN DISP,LONGISA,KIPLABOTWA,BOMET,CHEPALUNGU,4,MOH,-0.946646,35.3878
RONGENA DISP,SOTIK,RONGENA,BOMET,CHEPALUNGU,4,MOH,-0.72411,35.1121
SARUCHAT DISP,SOTIK,RONGENA,BOMET,CHEPALUNGU,4,MOH,-0.75,35.08
SEGUTIET DISP,BOMET CENTRAL,CHESOEN,BOMET,CHEPALUNGU,4,MOH,-0.70123,35.25123
SIGORWET DISP,BOMET CENTRAL,SINGORWET,BOMET,CHEPALUNGU,4,MOH,-0.729233,35.2988
SILIBWET DISP,BOMET CENTRAL,TOWNSHIP,BOMET,CHEPALUNGU,4,MOH,-0.73234,35.34123
SOYMET DISP,SOTIK,KIPTULWA,BOMET,CHEPALUNGU,4,MOH,-0.71421,35.2141
TARAKWA DISP,SOTIK,MUTARAKWA,BOMET,CHEPALUNGU,4,MOH,-0.75209,35.268
TEGAT DISP,LONGISA,TEGAT,BOMET,CHEPALUNGU,4,MOH,-0.789094,35.4776
BUTIIK DISP,BURET,CHEPLANGET,BOMET,CHEPALUNGU,4,MOH,-0.66,35.09
CHEBILAT DISP,SOTIK,MANARET,BOMET,CHEPALUNGU,4,MOH,-0.68,35.08
CHEBORGE DISP,BURET,CHEBORGE,KERICHO,BELGUT,4,MOH,-0.576044,35.1419
CHEMALAL DISP,KIMULOT,KIMULOT,BOMET,CHEPALUNGU,4,MOH,-0.52,35.2
CHEMOSOT DISP,BURET,KISIARA,KERICHO,BELGUT,4,MOH,-0.48336,35.1657
CHEPCHABAS DISP,KIMULOT,SAOSA,KERICHO,BELGUT,4,MOH,-0.461088,35.3246
CHEPLANGET DISP,BURET,CHEPLANGET,KERICHO,BELGUT,4,MOH,-0.64662,35.1342
ITARE FOREST DISP,KIMULOT,KAPTEBENGWET,BOMET,CHEPALUNGU,4,MOH,-0.580631,35.2973
KALAACHA DISP,BURET,CHEBWAGAN,KERICHO,BELGUT,4,MOH,-0.609808,35.136559
KAPLETUNDO DISP,SOTIK,KAPLETUNDO,BOMET,CHEPALUNGU,4,MOH,-0.65,35.19
KIBUGAT DISP,RORET,KIBUGAT,KERICHO,BELGUT,4,MOH,-0.59305,35.0764
KIBWASITULYO DISP,BURET,TECHOGET,KERICHO,BELGUT,4,MOH,-0.614308,35.1079
KINYAGORO DISP,KONOIN,CHEMELET,KERICHO,BELGUT,4,MOH,-0.576262,35.21451
KIPTEWIT DISP,BURET,LITEIN,KERICHO,BELGUT,4,MOH,-0.557337,35.164
KIPTOME DISP,BURET,CHEBOIN,KERICHO,BELGUT,4,MOH,-0.548834,35.1206
MOGOGOSIEK DISP,KONOIN,MOGOGOSIEK,BOMET,CHEPALUNGU,4,MOH,-0.620721,35.268
SIMBI DISP,SOTIK,MANARET,BOMET,CHEPALUNGU,4,MOH,-0.622,35.07
SIOMO DISP,KONOIN,EMBOMOS,BOMET,CHEPALUNGU,4,MOH,-0.55412,35.3812
SOTIK DISP,SOTIK,CHEMAGEL,BOMET,CHEPALUNGU,4,MOH,-0.69123,35.1142
TEBESONIK DISP,RORET,TEBESONIK,KERICHO,BELGUT,4,MOH,-0.551385,35.0977
AMBOSELI DISP,LOITOKITOK,ENTONET,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.73827,37.3418
ATHI RIVER PRISON DISP,CENTRAL,KITENKELA,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.47463,36.9358
EMURUA  DIKIRR DISP,NAMANGA,BISSIL,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.23,36.69225
EMUTOROKI DISP,MASHURU,MAPARASHA,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.29497,36.994148
ENGIRRGIR DISP,CENTRAL,ISINYA,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.738131,36.887361
EREMITI DISP,NGONG,CENTRAL KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.389954,36.362888
EWASO KEDONG DISP,NGONG,NORTH KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.17818,36.4918
I CROSS DISP,NGONG,NGONG,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.359548,36.65548
ILKELUNYETI DISP,MASHURU,KENYEWA,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.171527,37.52038
ILMAKUTANI DISP,CENTRAL,TOROSEI,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.171036,36.48369
ILMARORO DISP,MASHURU,IMARORO,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.08313,37.147352
ILMUTOROK DISP,MASHURU,MAPARASHA,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.29505,37.0302
ILPOLOSAT DISP,CENTRAL,ISINYA,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.70993,37.028244
ILTILAL DISP,LOITOKITOK,KUKU,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.949365,37.749396
KENYA MARBLE DISP,CENTRAL,ILDAMAT,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.9,36.73
KIPETU DISP,NGONG,SOUTH KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.5057,36.723208
MAILWA DISP,NAMANGA,MAILWA,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.32574,36.9275
MAPARASHA DISP,MASHURU,MAPARASHA,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.147983,36.936632
MBIRIKANI DISP,LOITOKITOK,IMBIRIKANI,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.58626,37.5074
METO DISP,NAMANGA,METO,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.37859,36.5502
MOROTOT DISP,LOITOKITOK,KUKU,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.923905,37.510811
MOSIRO DISP,NGONG,MOSIRO,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.46313,36.1252
NAJILE DISP,NGONG,NORTH KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.237454,36.444801
NAMELOK DISP,LOITOKITOK,KUKU,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.928378,37.521622
NGATATAEK DISP,NAMANGA,BISSIL,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.27793,36.8099
OLDOGO DISP,MAGADI,OLKIRAMATIAN,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.88,36.17
OLDONYONYOIKE DISP,MAGADI,OLDONYO NYOIKE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.79685,36.3739
OLDOROKO DISP,MAGADI,MAGADI,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.896213,36.35116
OLGULULUI DISP,LOITOKITOK,LENKISM,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.63376,36.9819
OLGUMI DISP,NGONG,NORTH KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.108503,36.398071
OLKIRAMATIAN DISP,MAGADI,OLKIRAMATIAN,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.90082,36.1455
OLOIKA DISP,MAGADI,MAGADI,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.001866,36.332802
OLOIYANKALANI DISP,CENTRAL,ILDAMAT,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.77986,36.69
OLORIKA DISP,LOITOKITOK,KUKU,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.778795,37.753712
OLOSEOS DISP,NGONG,CENTRAL KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.535062,36.589842
OLSHOIBOR DISP,NGONG,NORTH KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.384227,36.591591
OLTEPESI DISP,NGONG,CENTRAL KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.55811,36.4728
OLTIASIKA DISP,LOITOKITOK,IMBIRIKANI,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.602407,37.818751
SAIKERI DISP,NGONG,NORTH KEEKONYOKIE,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.44956,36.5678
SAJILONI DISP,CENTRAL,SAJILONI,KAJIADO,KAJIADO CENTRAL,4,MOH,-1.880526,36.85326
SHOMBOLE DISP,MAGADI,SHOMPOLE,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.0637,36.2026
TOROSEI DISP,CENTRAL,TOROSEI,KAJIADO,KAJIADO CENTRAL,4,MOH,-2.21164,36.4103
BIRETWA DISP,SOY,CHEPSIGOT,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.547939,35.5426
CHANGACH BARAK DISP,SOY,KIBARGOI,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.435036,35.5927
CHEGILET DISP,TAMBACH,KEU,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.834932,35.606731
CHEPTEBO DISP,SOY,KIBARGOI,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.498354,35.581925
EMSEA DISP,SOY,KIBARGOI,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.455433,35.608014
EPKEE DISP,SOY,EPKE,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.516546,35.548629
FLAX DISP,CHEPKORIO,MARICHOR,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.374345,35.504642
KAPCHELAL DISP,TAMBACH,KOKWAO,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.841851,35.564107
KAPTAGAT DISP,CHEPKORIO,MARICHOR,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.37342,35.4779
KIPKABUS DISP,CHEPKORIO,KABIEMIT,UASIN GISHU,AINABKOI,4,MOH,0.30045,35.49865
NYARU DISP,CHEPKORIO,NYARU,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.327061,35.5771
SABOR DISP,CHEPKORIO,MOSOP,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.428654,35.496561
SEGO DISP,SOY,SOY,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.39105,35.612694
SERGOT DISP,KAMARINY,IRONG,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.669537,35.441331
SIMOTWO DISP,CHEPKORIO,METKEI,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.190118,35.627383
SINGORE DISP,KAMARINY,KAMOI,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.716846,35.517
TABARE DISP,CHEPKORIO,METKEI,ELEGEYO-MARAKWET,MARAKWET EAST,4,MOH,0.18851,35.668471
CHEBARA DISP,CHILCHILA,KOKWET,KERICHO,BELGUT,4,MOH,-0.168025,35.338777
CHEPCHOLIET DISP,KIPKELION,KAPSEGER,KERICHO,BELGUT,4,MOH,-0.247339,35.348209
CHEPKUNYUK DISP,CHILCHILA,KUNYAK,KERICHO,BELGUT,4,MOH,-0.103819,35.293499
CHEPSIR DISP,KIPKELION,KAPSEGER,KERICHO,BELGUT,4,MOH,-0.283536,35.4259
CHEPTUIYET DISP,SIGOWET,KEBENETI,KERICHO,BELGUT,4,MOH,-0.478258,35.0509
IRAA DISP,SIGOWET,KIPTERE,KERICHO,BELGUT,4,MOH,-0.365365,35.095407
JAGOROR DISP,LONDIANI,KIPSIRICHET,KERICHO,BELGUT,4,MOH,-0.147252,35.546299
KABUTI-MATIRET DISP,SIGOWET,KAPLELARTET,KERICHO,BELGUT,4,MOH,-0.367254,35.012399
KAITUI DISP,SOIN,KAITUI,KERICHO,BELGUT,4,MOH,-0.286937,35.1598
KAKIPTUI DISP,BELGUT,KAPSUSER,KERICHO,BELGUT,4,MOH,-0.37412,35.24123
KAMAWOI DISP,SIGOWET,CHEMAMUL,KERICHO,BELGUT,4,MOH,-0.389915,35.12748
KAMWINGI DISP,LONDIANI,SORGET,KERICHO,BELGUT,4,MOH,-0.071809,35.562
KAPKIAM DISP,AINAMOI,KAPSAOS,KERICHO,BELGUT,4,MOH,-0.291189,35.3689
KAPSEGER DISP,KIPKELION,KAPSEGER,KERICHO,BELGUT,4,MOH,-0.249524,35.4072
KAPSOROK DISP,SOIN,KAPSOROK,KERICHO,BELGUT,4,MOH,-0.295441,35.0543
KEDOWA DISP,LONDIANI,KEDOWA,KERICHO,BELGUT,4,MOH,-0.2121,35.56792
KERICHO FOREST DISP,AINAMOI,CHEBOSWA,KERICHO,BELGUT,4,MOH,-0.343908,35.3851
KIBENETI DISP,SIGOWET,KEBENETI,KERICHO,BELGUT,4,MOH,-0.44123,35.07123
KIMOUT DISP,LONDIANI,KIPSIRICHET,KERICHO,BELGUT,4,MOH,-0.168744,35.5279
KIMUGUL DISP,KIPKELION,KIMUGUL,KERICHO,BELGUT,4,MOH,-0.25114,35.50264
KIPSEGI DISP,KIPKELION,KIPSEGI,KERICHO,BELGUT,4,MOH,-0.175546,35.4157
KIPSITET DISP,SOIN,SOIN,KERICHO,BELGUT,4,MOH,-0.224014,35.1598
KIPTERE DISP,SIGOWET,KIPTERE,KERICHO,BELGUT,4,MOH,-0.389825,35.107
KOITABUROT DISP,SOIN,KOITABUROT,KERICHO,BELGUT,4,MOH,-0.204457,35.2006
KUNYAK DISP,CHILCHILA,KUNYAK,KERICHO,BELGUT,4,MOH,-0.128779,35.2967
LELECHWET DISP,KIPKELION,KIPSEGI,KERICHO,BELGUT,4,MOH,-0.107596,35.459517
LEMOTIT DISP,LONDIANI,LEMOTIT,KERICHO,BELGUT,4,MOH,-0.091366,35.5203
MAKYOLOK DISP,CHILCHILA,KOKWET,KERICHO,BELGUT,4,MOH,-0.134731,35.3647
MANYOROR DISP,AINAMOI,KAPSAOS,KERICHO,BELGUT,4,MOH,-0.289488,35.3298
KAUMA DISP,KABONDO,RAMBA,,,4,MOH,0.00E+00,0.00E+00
MITI TATU DISP,LONDIANI,MASAITA,KERICHO,BELGUT,4,MOH,-0.088815,35.607
MONMONIAT DISP,KIPKELION,CHEPSEGON,KERICHO,BELGUT,4,MOH,-0.242721,35.4523
MTARAGON DISP,KIPKELION,KAMASIAN,KERICHO,BELGUT,4,MOH,-0.092216,35.4268
MUGUMO-INI DISP,LONDIANI,TENDENO,KERICHO,BELGUT,4,MOH,-0.001234,35.4778
NGENDALEL DISP,KIPKELION,LESIRWA,KERICHO,BELGUT,4,MOH,-0.205307,35.414
SANGA DISPENSARY,SIGOWET,KIPTERE,KERICHO,BELGUT,4,MOH,-0.42123,35.09123
SERETUT DISP,BELGUT,SERETUT,KERICHO,BELGUT,4,MOH,-0.431459,35.201057
SOLIAT DISP,SOIN,SOLIAT,KERICHO,BELGUT,4,MOH,-0.310746,35.1308
SONGONYET DISP,KIPKELION,KAMASIAN,KERICHO,BELGUT,4,MOH,-0.124528,35.4072
SUBUKIA DISP,LONDIANI,TENDENO,KERICHO,BELGUT,4,MOH,0.006418,35.5118
ARAMA DISP,ELDAMA RAVINE,LEMBUS CENTRAL,BARINGO,BARINGO CENTRAL,4,MOH,0.066415,35.6515
CHEBEREN DISP,EMINING,KIMOSE,BARINGO,BARINGO CENTRAL,4,MOH,0.22207,35.8873
ESAGERI DISP,ESAGERI,SABATIA,BARINGO,BARINGO CENTRAL,4,MOH,-0.064319,35.781806
IGURE DISP,ELDAMA RAVINE,MAJI MAZURI,BARINGO,BARINGO CENTRAL,4,MOH,-0.088048,35.697514
KAPKEIN DISP,KIMNG'OROM,CHEBEREN,BARINGO,BARINGO CENTRAL,4,MOH,0.249041,35.8157
KIPTUMO DISP,ELDAMA RAVINE,ELDAMA RAVINE,BARINGO,BARINGO CENTRAL,4,MOH,0.060688,35.7529
LEBOLOS DISP,ESAGERI,SABATIA,BARINGO,BARINGO CENTRAL,4,MOH,-0.043385,35.78213
MAJI MAZURI DISP,ELDAMA RAVINE,MAJI MAZURI,BARINGO,BARINGO CENTRAL,4,MOH,-0.022201,35.7101
MAJI MOTO DISP,MOGOTIO,KOIBOS,BARINGO,BARINGO CENTRAL,4,MOH,0.299368,36.075161
MUGURIN DISP,MOGOTIO,KOIBOS,BARINGO,BARINGO CENTRAL,4,MOH,0.147325,36.0569
OLKOKWE DISP,KISANANA,OLKOKWE,BARINGO,BARINGO CENTRAL,4,MOH,0.160424,36.1254
SABATIA DISP,ESAGERI,SABATIA,BARINGO,BARINGO CENTRAL,4,MOH,-0.00833,35.7502
SAGAT DISP,ESAGERI,LEMBUS-KABIMOI,BARINGO,BARINGO CENTRAL,4,MOH,0.053315,35.8157
SAOS DISP,ELDAMA RAVINE,SAOS/KIBIAS,BARINGO,BARINGO CENTRAL,4,MOH,0.111879,35.8134
SIGORO DISP,ELDAMA RAVINE,CHEMORGONG,BARINGO,BARINGO CENTRAL,4,MOH,0.12724,35.7352
SIRWA DISP,SIRWA,SIRWA,BARINGO,BARINGO CENTRAL,4,MOH,0.200494,35.7517
SOLIAN DISP,ESAGERI,SABATIA,BARINGO,BARINGO CENTRAL,4,MOH,0.009259,35.765234
TUIYOTICH DISP,ESAGERI,LEMBUS-KABIMOI,BARINGO,BARINGO CENTRAL,4,MOH,0.030198,35.7825
KOPINYA DISP,,,,,4,MOH,0.00E+00,0.00E+00
KALALU DISP,CENTRAL,DAIGA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.078008,37.146
KARUGA DISP,NYAHURURU,IGWAMITI,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.056298,36.2928
KIBUKU DISP,RUMURUTI,MUTARA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.164847,36.6467
KIRIMON DISP,RUMURUTI,SOSIAN,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.735814,36.8681
LAMURIA DISP,LAMURIA,LAMURIA,LAIKIPIA,LAIKIPIA NORTH,4,MOH,-0.136919,36.866
MAHIANJU DISP,NYAHURURU,MUTITU,LAIKIPIA,LAIKIPIA NORTH,4,MOH,0.067444,36.3911
